Flex,Old Project ID,Old Project Name,New Flex 2.0 ESA ID,New Flex 2.0 ESA Project Description ,Verizon Sr.D name,Old Verizon TQ,Old SOW,Old Verizon TQ Descroption ,New TQ ID,New SOW,New Verizon TQ Descroption ,Tower Lead
India SOW,,,1000458637,"VDSI-Flex-H&M-Plans ,Perks & Service Offers",Mangala Seetharaman ,,,,VZGTTQ00011938,New SOW,"VCG VZI_Plans ,Perks& Service Offers_CTS_Samta",Srini K 
India SOW,,,1000458636,VDSI-Flex-H&M-Consumer Products,Robert Sunderdas,,,,VZGTTQ00011861,New SOW,VCG VZI_Consumer Products_CTS_Harini,Suneeta Kolla / Arun Jayaprakash
India SOW,,,1000458645,VDSI-Flex-H&M-Digital CX,Robert Sunderdas,,,,VZGTTQ00012147,New SOW,VCG VZI_Digital CX_CTS_Harini,Suneeta Kolla / Arun Jayaprakash
India SOW,,,1000458868,VDSI-Flex-H&M-Compensation & Ops,Robert Sunderdas,,,,VZGTTQ00011944,New SOW,VCG VZI_Customer service ops_CTS_Harini,Suneeta Kolla / Arun Jayaprakash
India SOW,,,1000458647,VDSI-Flex-H&M- Customer Service Ops,Robert Sunderdas,,,,VZGTTQ00011932,New SOW,VCG VZI_ Customer service ops-Leads_CTS_Harini,Suneeta Kolla / Arun Jayaprakash
India SOW,,,1000458654,VDSI-Flex-H&M-Vision SOR Platforms- SCM Apps,Robert Sunderdas,,,,VZGTTQ00011950,New SOW,VCG VZI_Vision SOR Platforms- SCM Apps_CTS_Anand,Kali Prasad
India SOW,,,1000458651,VDSI-Flex-H&M-Vision SOR Platforms - IFE BCP,Robert Sunderdas,,,,VZGTTQ00011840,New SOW,VCG VZI_Vision SOR Platforms_CTS_Anand,Kali Prasad
Global SOW,,,1000456935,Verizon-VCG HM Flex 2.0 Compli,,,,,,,,Dipanakr Roy
Global SOW,,,1000458009,Verizon-VCG HM TQ11465-VBG NSA,Deepshikha Bansal,,,,VZGTTQ00011465,New SOW,VCG Flex (VBG NSA Deepshikha) TQ4164 CTS,Parthiban Ilango 
Global SOW,,,1000462526,Verizon-VCG H&M Churn Base Mar,Umar Mujeeb,,,,VZGTTQ00012148,New SOW,VCG Flex (Base Marketing Churn)TQ9703 CTS,Kali Prasad
Global SOW,,,1000462570,Verizon-NBX Opportunity H&M-AU,Umar Mujeeb,,,,,,,Kali Prasad
,,,1000467271,VDSI-Flex-H&M-Turing_AI,Mangala Seetharaman ,,,,,,,Kali Prasad
